title,year,journal,authors,abstract,David,Najmul,Lia,Agreement
Lassa serology in natural populations of rodents and horizontal transmission,2014,Vector-Borne and Zoonotic Diseases,"Fichet-Calvet, E. and Becker-Ziaja, B. and Koivogui, L. and Gunther, S.","Lassa virus causes hemorrhagic fever in West Africa. Previously, we demonstrated by PCR screening that only the multimammate mouse, Mastomys natalensis, hosts Lassa virus in Guinea. In the present study, we used the same specimen collection from 17 villages in Coastal, Upper, and Forest Guinea to investigate the Lassa virus serology in the rodent population. The aim was to determine the dynamics of antibody development in M. natalensis and to detect potential spillover infections in other rodent species. Immunoglobulin G (IgG) antibody screening was performed using the indirect immunofluorescence assay with the Guinean Lassa virus strain Bantou 289 as antigen. The overall seroprevalence was 8% (129/1551) with the following rodents testing positive: 109 M. natalensis, seven Mastomys erythroleucus, four Lemniscomys striatus, four Praomys daltoni, three Mus minutoides, and two Praomys rostratus. Nearly all of them (122/129) originated from Bantou, Tanganya, and Gbetaya, where Lassa virus is highly endemic in M. natalensis. The antibody seroprevalence in M. natalensis from this high-endemic area (27%; 108/396) depended on the village, habitat, host age, and host abundance. A main positive factor was age; the maximum seroprevalence reached 50% in older animals. Our data fit with a model implicating that most M. natalensis rodents become horizontally infected, clear the virus within a period significantly shorter than their life span, and develop antibodies. In addition, the detection of antibodies in other species trapped in the habitats of M. natalensis suggests spillover infections. Copyright Â© 2014, Mary Ann Liebert, Inc. 2014.",Include,Include,Include,3
Lassa virus infection in humans and rodents: Are humans more infected when rodents are abundant?,2017,Tropical Medicine and International Health,"Fichet-Calvet, E. and Soropogui, B. and Mari Saez, A. and Cherif, M. and Jatta, B. and Camara, A. and Gabriel, M. and Gunther, S. and Magassouba, N. and Borchert, M.","Introduction Lassa fever is a viral haemorrhagic fever, affecting 200-300,000 persons with 5,000-10,000 fatalities per year in West Africa. Lassa virus (LASV) has a rodent reservoir Mastomys natalensis, and is transmitted to humans through direct contact, their body fluids or droppings. According to a mathematical model, the correlation between the reservoir abundance and viral prevalence in the reservoir can show 4 scenarios: (1) positive linear, (2) positive logarithmic with a threshold, (3) negative or (4) null. Consequently, the correlation between reservoir abundance and force of infection to humans can be: (1) positive exponential, (2) positive linear with a threshold, (3) null or (4) positive linear. Aim We therefore intended to investigate 3 outcome variables: rodent abundance, LASV prevalence in the rodent population and recent Lassa cases in humans, by conducting an experimental study in a high endemic zone in Upper Guinea, Guinea. Methods In 2013, 2014, 2015 and 2016 the rodent populations were sampled in 4-10 villages, all located in remote dry forest savannah. In 3 villages, the rodent populations were reduced by using anticoagulant once a year; and the level of abundance was checked before and after control. Necropsies were done each day in situ following the BSL3 procedure, and the blood was collected on filter papers. LASV testing was done with a double PCR targeted on S and L segments. In 2014, the human population was randomly sampled in 6 villages. Serology on human sera was performed by using ELISA and IFA tests. Results In total, 1030 rodents were collected of which 954 were M. natalensis. Their abundance, measured by the mean trapping success varied from 1.1% to 16.7%. LASV prevalence varied from 0.0% to 33.3%. First analysis showed no relationship between rodent abundance and Lassa prevalence (scenario 4). Nevertheless, the relationship between rodent abundance and force of infection was positively correlated (r = 0.56, n= 31, P=0.001) according to the mathematical model. Of 1306 human sera, 993 were IgG positive and 23 IgM positive. Conclusion The Lassa incidence in humans could be amplified when rodent populations remain abundant.",Include,Include,Include,3
Rapid detection of Lassa virus by reverse transcription-loop-mediated isothermal amplification,NA,Microbiology & Immunology,"Fukuma, A. and Kurosaki, Y. and Morikawa, Y. and Grolla, A. and Feldmann, H. and Yasuda, J.","In this study, a simple one-step reverse transcription-loop-mediated isothermal amplification (RT-LAMP) assay for rapid detection of Lassa virus (LASV) was established. The two primer sets were designed to detect LASV circulating in Sierra Leone and northeastern Nigeria. The RT-LAMP assay using these primer sets was able to detect 100 copies of theÊin vitrotranscribed artificial LASV RNA within 25 min. The assay was also evaluated using intact viral RNA extracted from cell culture-propagated viruses and confirmed to be highly specific for LASV. The RT-LAMP assay developed in this study is rapid, simple, and highly specific for the detection of LASV, although its sensitivity is slightly lower than that of real-time RT-PCR. In addition, because the RT-LAMP assay does not require the use of sophisticated equipment, it would be advantageous for clinical diagnosis of LASV infection in developing countries. It might also be employed in cases of deliberate release during bioterrorism attacks or in epidemiological surveillance for disease outbreaks.",Maybe,Maybe,Include,>1
Serological assays based on recombinant viral proteins for the diagnosis of arenavirus hemorrhagic fevers,2012,Viruses,"Fukushi, S. and Tani, H. and Yoshikawa, T. and Saijo, M. and Morikawa, S.","The family Arenaviridae, genus Arenavirus, consists of two phylogenetically independent groups: Old World (OW) and New World (NW) complexes. The Lassa and Lujo viruses in the OW complex and the Guanarito, Junin, Machupo, Sabia, and Chapare viruses in the NW complex cause viral hemorrhagic fever (VHF) in humans, leading to serious public health concerns. These viruses are also considered potential bioterrorism agents. Therefore, it is of great importance to detect these pathogens rapidly and specifically in order to minimize the risk and scale of arenavirus outbreaks. However, these arenaviruses are classified as BSL-4 pathogens, thus making it difficult to develop diagnostic techniques for these virus infections in institutes without BSL-4 facilities. To overcome these difficulties, antibody detection systems in the form of an enzyme-linked immunosorbent assay (ELISA) and an indirect immunofluorescence assay were developed using recombinant nucleoproteins (rNPs) derived from these viruses. Furthermore, several antigen-detection assays were developed. For example, novel monoclonal antibodies (mAbs) to the rNPs of Lassa and Junin viruses were generated. Sandwich antigen-capture (Ag-capture) ELISAs using these mAbs as capture antibodies were developed and confirmed to be sensitive and specific for detecting the respective arenavirus NPs. These rNP-based assays were proposed to be useful not only for an etiological diagnosis of VHFs, but also for seroepidemiological studies on VHFs. We recently developed arenavirus neutralization assays using vesicular stomatitis virus (VSV)-based pseudotypes bearing arenavirus recombinant glycoproteins. The goal of this article is to review the recent advances in developing laboratory diagnostic assays based on recombinant viral proteins for the diagnosis of VHFs and epidemiological studies on the VHFs caused by arenaviruses. Â© 2012 by the authors; licensee MDPI, Basel, Switzerland.",Exclude,Exclude,Include,>1
DEVELOPMENT OF AN ELISA SYSTEM FOR THE DETECTION AND STRAIN IDENTIFICATION OF LASSA AND EBOLA VIRUSES USING MONOCLONAL ANTIBODIES,1983,NA,"Getchell, Jane Pentl","An ELISA was developed which was able to detect Lassa and Ebola virus antigens in supernatant fluids from infected Vero cells and in animal sera, using monoclonal antibodies. Plaque infectivity titers in these fluids were as low as 10('3) PFU/ml, a level of virus comparable to that found in the blood of infected patients. By selecting a monoclonal antibody specific for the VP3 protein of Ebola mayinga, and a second monoclonal antibody specific for the VP3 protein of E. boniface, these two strains of Ebola virus could be distinguished. Beads coated with antibody by amination and diazotization, and by a second method using a carboiimide reagent and a commercially prepared kit (Bio-Rad), were found to be less satisfactory in capturing viral antigen than immobilizing antigen in filter paper disks contained in the wells of a specially designed 96-well filtration manifold. No difference in test sensitivity was observed when antigen was immobilized in filter paper compared to antigen bound directly to the walls of 96-well microelisa plates. The use of polyclonal capture antibody to trap test antigen served only to increase test background, not test sensitivity. When the test was applied to blood and tissues from experimental animals infected with Lassa or Ebola virus, Lassa josiah antigen was reliably detected in specimens containing more than 10('7) PFU/ml. Experiments were conducted to explore reasons for this loss of sensitivity, but no definite conclusions could be made. Results suggest that E. mayinga antigen was detected in a formalin-inactivated guinea pig serum originally containing 10('3.17) PFU/ml, but not in a duplicate serum inactivated by gamma irradiation. Attempts were made to develop a competitive binding ELISA for Ebola antigen in which the antibody in known antibody-containing sera was reacted with the solid-phase Ebola antigen (either purified virus or whole Ebola-infected Vero cells). Monoclonal antibody was then added to determine if the antibody binding sites on the viral antigen had been blocked by serum antibodies. Bound monoclonal antibody was detected by the addition of biotinylated anti-mouse IgG and avidin-biotinylated-HRP complex (ABC), but competition was not observed.",Include,Include,Include,3
Animal Models for the Study of Rodent-Borne Hemorrhagic Fever Viruses: Arenaviruses and Hantaviruses,2015,BioMed Research International,"Golden, J. W. and Hammerbeck, C. D. and Mucker, E. M. and Brocato, R. L.","Human pathogenic hantaviruses and arenaviruses are maintained in nature by persistent infection of rodent carrier populations. Several members of these virus groups can cause significant disease in humans that is generically termed viral hemorrhagic fever (HF) and is characterized as a febrile illness with an increased propensity to cause acute inflammation. Human interaction with rodent carrier populations leads to infection. Arenaviruses are also viewed as potential biological weapons threat agents. There is an increased interest in studying these viruses in animal models to gain a deeper understating not only of viral pathogenesis, but also for the evaluation of medical countermeasures (MCM) to mitigate disease threats. In this review, we examine current knowledge regarding animal models employed in the study of these viruses. We include analysis of infection models in natural reservoirs and also discuss the impact of strain heterogeneity on the susceptibility of animals to infection. This information should provide a comprehensive reference for those interested in the study of arenaviruses and hantaviruses not only for MCM development but also in the study of viral pathogenesis and the biology of these viruses in their natural reservoirs. Copyright Â© 2015 Joseph W. Golden et al.",Exclude,Include,Maybe,>1
Strand-specific quantitative reverse transcription-polymerase chain reaction assay for measurement of arenavirus genomic and antigenomic RNAs,2015,PLoS ONE,"Haist, K. and Ziegler, C. and Botten, J.","Arenaviruses are bi-segmented, single-stranded RNA viruses that cause significant human disease. The manner in which they regulate the replication of their genome is not well-understood. This is partly due to the absence of a highly sensitive assay to measure individual species of arenavirus replicative RNAs. To overcome this obstacle, we designed a quantitative reverse transcription (RT)-PCR assay for selective quantitation of each of the lymphocytic choriomeningitis virus (LCMV) genomic or antigenomic RNAs. During the course of assay design, we identified a nonspecific priming phenomenon whereby, in the absence of an RT primer, cDNAs complementary to each of the LCMV replicative RNA species are generated during RT. We successfully circumvented this nonspecific priming event through the use of biotinylated primers in the RT reaction, which permitted affinity purification of primer-specific cDNAs using streptavidin-coated magnetic beads. As proof of principle, we used the assay to map the dynamics of LCMV replication at acute and persistent time points and to determine the quantities of genomic and antigenomic RNAs that are incorporated into LCMV particles. This assay can be adapted to measure total S or L segment-derived viral RNAs and therefore represents a highly sensitive diagnostic platform to screen for LCMV infection in rodent and human tissue samples and can also be used to quantify viruscell attachment. Copyright Â© 2015 Haist et al.",Exclude,Maybe,Include,>1
"Baseline mapping of Lassa fever virology, epidemiology and vaccine research and development",NA,Npj Vaccines,"Hallam, H. J. and Hallam, S. and Rodriguez, S. E. and Barrett, A. D. T. and Beasley, D. W. C. and Chua, A. and Ksiazek, T. G. and Milligan, G. N. and Sathiyamoorthy, V. and Reece, L. M.","Lassa fever (LF) is a zoonotic disease associated with acute and potentially fatal hemorrhagic illness caused by the Lassa virus (LASV), a member of the familyÊArenaviridae. It is generally assumed that a single infection with LASV will produce life-long protective immunity. This suggests that protective immunity induced by vaccination is an achievable goal and that cell-mediated immunity may play a more important role in protection, at least following natural infection. Seropositive individuals in endemic regions have been shown to have LASV-specific T cells recognizing epitopes for nucleocapsid protein (NP) and glycoprotein precursor (GPC), suggesting that these will be important vaccine immunogens. The role of neutralizing antibodies in protective immunity is still equivocal as recent studies suggest a role for neutralizing antibodies. There is extensive genetic heterogeneity among LASV strains that is of concern in the development of assays to detect and identify all four LASV lineages. Furthermore, the gene disparity may complicate the synthesis of effective vaccines that will provide protection across multiple lineages. Non-human primate models of LASV infection are considered the gold standard for recapitulation of human LF. The most promising vaccine candidates to date are the ML29 (a live attenuated reassortant of Mopeia and LASV), vesicular stomatitis virus (VSV) and vaccinia-vectored platforms based on their ability to induce protection following single doses, high rates of survival following challenge, and the use of live virus platforms. To date no LASV vaccine candidates have undergone clinical evaluation.",Exclude,Include,Exclude,>1
"Lassa fever diagnostics: past, present, and future",2019,Current Opinion in Virology,"Happil, A. N. and Happi, C. T. and Schoepp, R. J.","Clinical diagnosis and laboratory confirmation have always been major challenges for effective management and control of the disease in afflicted areas of West Africa. Recent advancements in molecular biology, recombinant DNA technology, and genomics sequencing has facilitated major advancement in development of better diagnostic and surveillance tools for Lassa fever virus. These include, the multiplex, magnetic bead-based immunodiagnostics for both Lassa virus antigens and antibodies; molecular probe-based quantitative real-time PCR for genomic signatures; rapid diagnostics tests that detects the most prevalent West African lineages; and the successful utilization of next-generation sequencing technology to diagnose and characterize Lassa virus in West Africa. These advances will continue to improve disease treatment, control, and prevention. In this review we will-discuss progression of Lassa virus diagnostics from the past and into the future.",Exclude,Include,Maybe,>1
Enzyme-linked immunosorbent assay for detection of arenaviruses,1981,Archives of Virology,"Ivanov, A. P. and Bashkirtsev, V. N. and Tkachenko, E. A.","Conditions for ELISA by using IgG linked with horseradish peroxidase have been developed for the detection of 6 arenaviruses (Machupo, Junin, Tacaribe, Amapari, LCM and Tamiami). This method allows the detection of arenavirus antigens in various materials; organs and blood of infected animals and infected cell culture fluids. It shows higher sensitivity and allows an earlier detection of virus-specific antigens as compared with the CF test.",Include,Include,Include,3
Indirect solid-phase immunosorbent assay for detection of arenavirus antigens and antibodies,1984,Acta Virologica,"Ivanov, A. P. and Rezapkin, G. V. and Dzagurova, T. K. and Tkachenko, E. A.","Indirect enzyme-linked immunosorbent assay (ELISA) and solid phase radioimmunoassay (SPRIA) using either anti-human or anti-mouse IgG labelled with horseradish peroxidase and <sup>125</sup>I, respectively, were developed for the detection of Junin, Machupo, Tacaribe, Amapari, Tamiami, Lassa and LCM arena-viruses. Both methods allow high sensitivity detection of arena-virus antigens and antibodies.",Include,Exclude,Maybe,>1
INDIRECT ENZYME-IMMUNOASSAY FOR LABORATORY DIAGNOSIS OF LASSA AND EBOLA HEMORRHAGIC FEVERS,1986,Voprosy Virusologii,"Ivanov, A. P. and Tkachenko, E. A. and V and ergroen, G. and Butenko, A. M. and Konstantinov, O. K.","Conditions for performing solid-phase indirect enzyme-immunoassay (SPEIA) for the detection of Lassa and Ebola virus antigens and antibodies to them using horseradish peroxidase-labeled antispecific globulins were developed. The method is highly sensitive, specific, and reproducible. By this method, antigens of Lassa and Ebola viruses could be detected in tissue culture fluid of the infected cell cultures and in animal organ suspensions. Detection of antibodies to Lassa and Ebola viruses in human convalescent sera and in normal donors by means of SPEIA opens possibilities for its use in large-scale diagnostic and seroepidemiological surveys.",Include,Maybe,Include,>1
Lassa virus infection of rhesus monkeys: Pathogenesis and treatment with ribavirin,1980,Journal of Infectious Diseases,"Jahrling, P. B. and Hesse, R. A. and Eddy, G. A. and Johnson, K. M. and Callis, R. T. and Stephen, E. L.","Rhesus monkeys were experimentally infected with Lassa virus to establish their suitability as a nonhuman primate model for the human disease and to test the protective efficacy of ribavirin, an antiviral drug. Six of 10 untreated control monkeys died after subcutaneous inoculation of 10<sup>6.1</sup> plaque-forming units of Lassa virus (strain Josiah). Infectivity titrations of tissue homogenates from the six dead monkeys indicated significant replication in all tissues tested except the central nervous system. This distribution of virus was confirmed by direct immunofluorescence examination of cryostat-sectioned tissues. Ribavirin was beneficial in the treatment of two groups of infected monkeys. Four monkeys first treated five days later experienced a more severe illness. None of the eight monkeys treated with ribavirin died. Viremia titers and elevations of levels of serum transaminases in treated monkeys were significantly lower than in controls. Ribavirin may be beneficial in the treatment of humans exposed to this life-threatening virus.",Include,Exclude,Exclude,>1
Case-control study of Mastomys natalensis and humans in Lassa virus-infected households in Sierra Leone,1983,American Journal of Tropical Medicine and Hygiene,"Keenlyside, R. A. and McCormick, J. B. and Webb, P. A. and Smith, E. and Elliott, L. and Johnson, K. M.","Lassa virus infection and antibodies were studied in households where Lassa fever cases occurred, and compared to those in nearest neighbor houses and 'far' houses located across the village from case houses. Seventy-nine percent of all rodents caught in the houses were Mastomys, the natural reservoir of Lassa virus. Rodent infection was not randomly distributed, but rather focal. Thirty-nine percent of the Mastomys in case houses were viremic, compared to 3.7% in control houses. Human antibody prevalence in case houses was 30%, compared to 20% in non-case houses (P < 0.05, chi-square test, df = 2). Neither seroconversions nor antibody prevalence rates were associated with household size or number of persons per room. Trapping of rodents in half of the case and control houses resulted in a Mastomys reduction ranging from 2.2- to 3.3-fold. This reduction failed to significantly reduce the seroconversion rate to Lassa virus in the people of trapped houses compared to those in untrapped ones. More complete trapping will be needed in order to better evaluate this procedure as a means of interruption of Lassa virus transmission in endemic villages.",Include,Exclude,Include,>1
"Two novel arenaviruses detected in pygmy mice, Ghana",2013,Emerging Infectious Diseases,"Kronmann, K. C. and Nimo-Paintsil, S. and Guirguis, F. and Kronmann, L. C. and Bonney, K. and Obiri-Danso, K. and Ampofo, W. and Fichet-Calvet, E.","Two arenaviruses were detected in pygmy mice (Mus spp.) by screening 764 small mammals in Ghana. The Natal multimammate mouse (Mastomys natalensis), the known Lassa virus reservoir, was the dominant indoor rodent species in 4 of 10 sites, and accounted for 27% of all captured rodents. No rodent captured indoors tested positive for an arenavirus.",Include,Include,Maybe,>1
"Sequence variability and geographic distribution of Lassa Virus, Sierra Leone",2015,Emerging Infectious Diseases,"Leski, T. A. and Stockelman, M. G. and Moses, L. M. and Park, M. and Stenger, D. A. and Ansumana, R. and Bausch, D. G. and Lin, B.","Lassa virus (LASV) is endemic to parts of West Africa and causes highly fatal hemorrhagic fever. The multimammate rat (Mastomys natalensis) is the only known reservoir of LASV. Most human infections result from zoonotic transmission. The very diverse LASV genome has 4 major lineages associated with different geographic locations. We used reverse transcription PCR and resequencing microarrays to detect LASV in 41 of 214 samples from rodents captured at 8 locations in Sierra Leone. Phylogenetic analysis of partial sequences of nucleoprotein (NP), glycoprotein precursor (GPC), and polymerase (L) genes showed 5 separate clades within lineage IV of LASV in this country. The sequence diversity was higher than previously observed; mean diversity was 7.01% for nucleoprotein gene at the nucleotide level. These results may have major implications for designing diagnostic tests and therapeutic agents for LASV infections in Sierra Leone. Copyright Â© 2015, Emerging Infectious Diseases. All rights reserved.",Include,Include,Include,3
Characterization of arenaviruses using a family-specific primer set for RT-PCR amplification and RFLP analysis. Its potential use for detection of uncharacterized arenaviruses,NA,Virus Research,"Lozano, M. E. and Posik, D. M. and Albarino, C. G. and Schujman, G. and Ghiringhelli, P. D. and Calderon, G. and Sabattini, M. and Romanowski, V.","Arenaviruses are enveloped viruses with a genome composed of two ssRNA species, designated L and S. The arenaviruses were divided in two major groups (Old World and New World), based on serological properties and genetic data, as well as geographic distribution. A sequence alignment analysis of all reported arenavirus S RNAs yielded 17 conserved regions in addition to a reported conserved region at the end of both RNAs. The consensus sequences of these regions were used to design generalized primers suitable for RT-PCR amplification of a set of overlapping nucleotide sequence fragments comprising the complete S RNA of any arenavirus. A restriction analysis (RFLP) was designed to rapidly typify the amplified fragments. This RT-PCR-RFLP approach was tested with Old World (LCM) and New World (Junin and Tacaribe) arenaviruses. Furthermore, using this procedure the whole S RNA of a novel arenavirus isolate obtained from a rodent trapped in central Argentina, was amplified and characterized. Partial nucleotide sequence data were used for phylogenetic analyses that showed the relationships between this arenavirus and the rest of the members of the family. This relatively simple methodology will be useful both in basic studies and epidemiological survey programs.",Exclude,Exclude,Include,>1
Zoonoses and haemorrhagic fever,1998,Developments in biological standardization,"Mahy, B. W.","Virus zoonoses causing haemorrhagic fever have been recognized in three major families: Arenaviridae, Bunyaviridae and Filoviridae. All are negative-stranded RNA viruses, with genomes in two segments, three segments, or non-segmented, respectively. Acquisition of haemorrhagic fever in man generally requires close contact with a vertebrate vector species, usually rodents, for the arenaviruses and bunyaviruses. In the case of filoviruses, the vector is currently unknown, but these viruses may infect monkeys, and may contaminate cell cultures prepared from them. Both bunyavirus and arenavirus haemorrhagic fevers have arisen in humans following exposure to rodents, and in the case of Hantaan, a virus causing haemorrhagic fever with renal syndrome (HFRS), there have been numerous laboratory-acquired infections among animal care workers. As the technology to differentiate virus species has improved, it has become clear that there are numerous potentially hazardous viruses capable of causing HFRS or hantavirus pulmonary syndrome (HPS) within the feral rodent population. In many cases it would be desirable to introduce screening methods for such viruses before preparing cell cultures from these rodent or simian species that will be used to prepare biological products for human use.",Exclude,Include,Exclude,>1
"No measurable adverse effects of Lassa, Morogoro and Gairo arenaviruses on their rodent reservoir host in natural conditions",2017,Parasites and Vectors,"Marien, J. and Borremans, B. and Gryseels, S. and Soropogui, B. and De Bruyn, L. and Bongo, G. N. and Becker-Ziaja, B. and De Bellocq, J. G. and Gunther, S. and Magassouba, N. and Leirs, H. and Fichet-Calvet, E.","Background: In order to optimize net transmission success, parasites are hypothesized to evolve towards causing minimal damage to their reservoir host while obtaining high shedding rates. For many parasite species however this paradigm has not been tested, and conflicting results have been found regarding the effect of arenaviruses on their rodent host species. The rodent Mastomys natalensis is the natural reservoir host of several arenaviruses, including Lassa virus that is known to cause Lassa haemorrhagic fever in humans. Here, we examined the effect of three arenaviruses (Gairo, Morogoro and Lassa virus) on four parameters of wild-caught Mastomys natalensis: body mass, head-body length, sexual maturity and fertility. After correcting for the effect of age, we compared these parameters between arenavirus-positive (arenavirus RNA or antibody) and negative animals using data from different field studies in Guinea (Lassa virus) and Tanzania (Morogoro and Gairo viruses). Result(s): Although the sample sizes of our studies (1297, 749 and 259 animals respectively) were large enough to statistically detect small differences in body conditions, we did not observe any adverse effects of these viruses on Mastomys natalensis. We did find that sexual maturity was significantly positively related with Lassa virus antibody presence until a certain age, and with Gairo virus antibody presence in general. Gairo virus antibody-positive animals were also significantly heavier and larger than antibody-free animals. Conclusion(s): Together, these results suggest that the pathogenicity of arenaviruses is not severe in M. natalensis, which is likely to be an adaptation of these viruses to optimize transmission success. They also suggest that sexual behaviour might increase the probability of M. natalensis to become infected with arenaviruses. Copyright Â© 2017 The Author(s).",Include,Include,Include,3
Arenavirus Dynamics in Experimentally and Naturally Infected Rodents,2017,Ecohealth,"Marien, J. and Borremans, B. and Gryseels, S. and V and en Broecke, B. and Becker-Ziaja, B. and Makundi, R. and Massawe, A. and Reijniers, J. and Leirs, H.","Infectious diseases of wildlife are typically studied using data on antibody and pathogen levels. In order to interpret these data, it is necessary to know the course of antibodies and pathogen levels after infection. Such data are typically collected using experimental infection studies in which host individuals are inoculated in the laboratory and sampled over an extended period, but because laboratory conditions are controlled and much less variable than natural conditions, the immune response and pathogen dynamics may differ. Here, we compared Morogoro arenavirus infection patterns between naturally and experimentally infected multimammate mice (Mastomys natalensis). Longitudinal samples were collected during three months of bi-weekly trapping in Morogoro, Tanzania, and antibody titer and viral RNA presence were determined. The time of infection was estimated from these data using a recently developed Bayesian approach, which allowed us to assess whether the natural temporal patterns match the previously observed patterns in the laboratory. A good match was found for 52% of naturally infected individuals, while most of the mismatches can be explained by the presence of chronically infected individuals (35%), maternal antibodies (10%), and an antibody detection limit (25%). These results suggest that while laboratory data are useful for interpreting field samples, there can still be differences due to conditions that were not tested in the laboratory.",Exclude,Maybe,Include,>1
Lethal Infection of Lassa Virus Isolated from a Human Clinical Sample in Outbred Guinea Pigs without Adaptation,2019,Msphere,"Maruyama, J. and Manning, J. T. and Mateer, E. J. and Sattler, R. and Bukreyeva, N. and Huang, C. and Paessler, S.","Lassa virus (LASV), a member of the family Arenaviridae, is the causative agent of Lassa fever. Lassa virus is endemic in West African countries, such as Nigeria, Guinea, Liberia, and Sierra Leone, and causes outbreaks annually. Lassa fever onset begins with ""flu-like"" symptoms and may develop into lethal hemorrhagic disease in severe cases. Although Lassa virus is one of the most alarming pathogens from a public health perspective, there are few licensed vaccines or therapeutics against Lassa fever. The fact that animal models are limited and the fact that mostly laboratory-derived viruses are used for studies limit the successful development of countermeasures. In this study, we demonstrated that the LASV isolate LF2384-NS-DIA-1 (LF2384), which was directly isolated from a serum sample from a fatal human Lassa fever case in the 2012 Sierra Leone outbreak, causes uniformly lethal infection in outbred Hartley guinea pigs without virus-host adaptation. This is the first report of a clinically isolated strain of LASV causing lethal infection in outbred guinea pigs. This novel guinea pig model of Lassa fever may contribute to Lassa fever research and the development of vaccines and therapeutics.IMPORTANCE Lassa virus, the causative agent of Lassa fever, is a zoonotic pathogen causing annual outbreaks in West African countries. Human patients can develop lethal hemorrhagic fever in severe cases. Although Lassa virus is one of the most alarming pathogens from a public health perspective, there are few available countermeasures, such as antiviral drugs or vaccines. Moreover, the fact that animal models are not readily accessible and the fact that mostly laboratory viruses, which have been passaged many times after isolation, are used for studies further limits the successful development of countermeasures. In this study, we demonstrate that a human isolate of Lassa virus causes lethal infection uniformly in Hartley guinea pigs. This novel animal model of Lassa fever may contribute to Lassa fever research and the development of vaccines and therapeutics.",Exclude,Include,Exclude,>1
Adenoviral vector-based vaccine is fully protective against lethal Lassa fever challenge in Hartley guinea pigs,2019,Vaccine,"Maruyama, J. and Mateer, E. J. and Manning, J. T. and Sattler, R. and Seregin, A. V. and Bukreyeva, N. and Jones, F. R. and Balint, J. P. and Gabitzsch, E. S. and Huang, C. and Paessler, S.","Lassa virus (LASV), the causative agent of Lassa fever (LF), was first identified in 1969. Since then, outbreaks in the endemic countries of Nigeria, Liberia, and Sierra Leone occur on an annual basis resulting in a case-fatality rate of 15-70% in hospitalized patients. There is currently no licensed vaccine and there are limited animal models to test vaccine efficacy. An estimated 37.7 million people are at risk of contracting LASV; therefore, there is an urgent need for the development of a safe, effective vaccine against LASV infection. The LF endemic countries are also inflicted with HIV, Ebola, and malaria infections. The safety in immunocompromised populations must be considered in LASV vaccine development. The novel adenovirus vector-based platform, Ad5 (E1-,E2b-) has been used in clinical trial protocols for treatment of immunocompromised individuals, has been shown to exhibit high stability, low safety risk in humans, and induces a strong cell-mediated and pro-inflammatory immune response even in the presence of pre-existing adenovirus immunity. To this nature, our lab has developed an Ad5 (E1-,E2b-) vector-based vaccine expressing the LASV-NP or LASV-GPC. We found that guinea pigs vaccinated with two doses of Ad5 (E1-,E2b-) LASV-NP and Ad5 (E1-,E2b-) LASV-GPC were protected against lethal LASV challenge. The Ad5 (E1-,E2b-) LASV-NP and LASV-GPC vaccine represents a potential vaccine candidate against LF. Copyright Â© 2019 Elsevier Ltd",Exclude,Include,Exclude,>1
A prospective study of the epidemiology and ecology of Lassa fever,1987,Journal of Infectious Diseases,"McCormick, J. B. and Webb, P. A. and Krebs, J. W.","In studies of Lassa fever in Sierra Leone, the prevalence of human antibody to Lassa virus ranged from 8% to 52%. Mastomys natalensis, the reservoir of Lassa virus, constituted 50%-60% of the rodents captured in houses but only 10%-20% of those captured in surrounding agriculture and bush areas (chi<sup>2</sup> = 90.2, P<10<sup>-6</sup>, df = 1), a finding suggesting that houses are the most-important location for transmission of Lassa virus. Viral infection of Mastomys from houses ranged from 0% to 80%. The incidence of seroconversions in susceptible persons ranged from 5% to 22% per year; the ratio of illness to infection ranged from 9% to 26%, and the proportion of febrile illness associated with seroconversion was 5%-14%. Eightfold rises in titer of antibody occurred in 1%-18% of the antibody-positive population, a result suggesting reinfection. We estimate the ratio of fatalities to infection to be 1%-2%, a rate lower than estimates based on hospitalized cases. The high incidence of Lassa fever makes it a major problem in West Africa.",Include,Exclude,Include,>1
Lassa virus isolation from Mastomys natalensis rodents during an epidemic in Sierra Leone,1974,Science,"Monath, T. P. and Newhouse, V. F. and Kemp, G. E. and Setzer, H. W. and Cacciapuoti, A.","Lassa fever is a severe febrile illness of man, first recognized in West Africa in 1969. During an epidemic in Sierra Leone, Lassa virus was isolated for the first time from wild rodents of Mastomys natalensis. A high prevalence of infected Mastomys was found in houses occupied by patients with Lassa fever. The data presented provide the first demonstration of an extra human cycle of Lassa virus transmission and suggest that rodent control may be an effective method of limiting the disease.",Include,Include,Include,3
